holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,year,month,hour,day_of_week,day_name,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,temp_celsius,is_holiday,has_precipitation,is_low_visibility,is_severe_weather,temp_zscore,clouds_zscore,traffic_category,congestion_category,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm
None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,2012,10,9,1,Tuesday,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,15.129999999999995,0,0,0,0,0.5522869025177997,-0.2400486318484518,High,Severe,0,1,0,0,0,0,0,0,0,0,0
None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,2012,10,10,1,Tuesday,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,16.210000000000036,0,0,0,0,0.6372580946491192,0.6570466472736423,Medium,High,0,1,0,0,0,0,0,0,0,0,0
None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,2012,10,11,1,Tuesday,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,16.430000000000007,0,0,0,0,0.654567041194385,1.0415160526116827,Medium,High,0,1,0,0,0,0,0,0,0,0,0
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,2012,10,12,1,Tuesday,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,16.980000000000018,0,0,0,0,0.6978394075575564,1.0415160526116827,Medium,Severe,0,1,0,0,0,0,0,0,0,0,0
None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,2012,10,13,1,Tuesday,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,17.99000000000001,0,0,0,0,0.7773032076062867,0.6570466472736423,Medium,High,0,1,0,0,0,0,0,0,0,0,0
None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,2012,10,14,1,Tuesday,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,18.57000000000005,0,0,0,0,0.8229358848619968,-1.2396690857273567,Medium,Severe,1,0,0,0,0,0,0,0,0,0,0
None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,2012,10,15,1,Tuesday,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,20.02000000000004,0,0,0,0,0.9370175780012633,-1.2396690857273567,High,Severe,1,0,0,0,0,0,0,0,0,0,0
None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,2012,10,16,1,Tuesday,0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,20.710000000000036,0,0,0,0,0.991304728529604,-1.2396690857273567,High,Severe,1,0,0,0,0,0,0,0,0,0,0
None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,2012,10,17,1,Tuesday,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,20.99000000000001,0,0,0,0,1.0133342968599433,-0.7526745056325055,High,Severe,0,1,0,0,0,0,0,0,0,0,0
None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,2012,10,18,1,Tuesday,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,19.950000000000045,0,0,0,0,0.9315101859186785,-0.7526745056325055,Medium,High,0,1,0,0,0,0,0,0,0,0,0
